Authors,Author Full Names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Abstract,Author Keywords,Index Keywords,Editors,Publisher,ISSN,ISBN,CODEN,Language of Original Document,Document Type,Publication Stage,Open Access,Source,EID
Abedin M.Z.; Chi G.; Uddin M.M.; Satu M.S.; Khan M.I.; Hajek P.,"Abedin, Mohammad Zoynul (57193336983); Chi, Guotai (12803678000); Uddin, Mohammed Mohi (57221415379); Satu, Md. Shahriare (57189219909); Khan, Md. Imran (57219312827); Hajek, Petr (56894360000)",57193336983; 12803678000; 57221415379; 57189219909; 57219312827; 56894360000,Tax Default Prediction Using Feature Transformation-Based Machine Learning,2021,IEEE Access,9,,9310180,19864,19881,17,33,10.1109/ACCESS.2020.3048018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099111620&doi=10.1109%2fACCESS.2020.3048018&partnerID=40&md5=4eef050ed7a3a584b5463f0b317e011d,"Department of Finance and Banking, Hajee Mohammad Danesh Science and Technology University, Dinajpur, 5200, Bangladesh; School of Economics and Management, Dalian University of Technology, Dalian, 116024, China; Department of Accountancy, College of Business and Management, University of Illinois Springfield, Springfield, 62703, IL, United States; Department of Management Information Systems, Noakhali Science and Technology University, Noakhali, 3814, Bangladesh; Department of Computer Science and Engineering, Gono Bishwabidyalay, Dhaka, 1344, Bangladesh; Science and Research Centre, Faculty of Economics and Administration, University of Pardubice, Pardubice, 53210, Czech Republic","This study proposes to address the economic significance of unpaid taxes by using an automatic system for predicting a tax default. Too little attention has been paid to tax default prediction in the past. Moreover, existing approaches tend to apply conventional statistical methods rather than advanced data analytic approaches, including state-of-the-art machine learning methods. Therefore, existing studies cannot effectively detect tax default information in real-world financial data because they fail to take into account the appropriate data transformations and nonlinear relationships between early-warning financial indicators and tax default behavior. To overcome these problems, this study applies diverse feature transformation techniques and state-of-the-art machine learning approaches. The proposed prediction system is validated by using a dataset showing tax defaults and non-defaults at Finnish limited liability firms. Our findings provide evidence for a major role of feature transformation, such as logarithmic and square-root transformation, in improving the performance of tax default prediction. We also show that extreme gradient boosting and the systematically developed forest of multiple decision trees outperform other machine learning methods in terms of accuracy and other classification performance measures. We show that the equity ratio, liquidity ratio, and debt-to-sales ratio are the most important indicators of tax defaults for 1-year-ahead predictions. Therefore, this study highlights the essential role of well-designed tax default prediction systems, which require a combination of feature transformation and machine learning methods. The effective implementation of an automatic tax default prediction system has important implications for tax administration and can assist administrators in achieving feasible government expenditure allocations and revenue expansions. © 2013 IEEE.",corporate tax; Default prediction; feature transformation; machine learning,Adaptive boosting; Decision trees; Forecasting; Machine learning; Mathematical transformations; Predictive analytics; Taxation; Classification performance; Feature transformations; Financial indicator; Government expenditure; Machine learning approaches; Machine learning methods; Non-linear relationships; State-of-the-art machine learning methods; Economic analysis,,Institute of Electrical and Electronics Engineers Inc.,21693536,,,English,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85099111620
Abedin M.Z.; Hassan M.K.; Khan I.; Julio I.F.,"Abedin, Mohammad Zoynul (57193336983); Hassan, M. Kabir (58076530500); Khan, Imran (57219312827); Julio, Ivan F. (57211937781)",57193336983; 58076530500; 57219312827; 57211937781,Feature Transformation for Corporate Tax Default Prediction: Application of Machine Learning Approaches,2022,Asia-Pacific Journal of Operational Research,39,4,2140017,,,,5,10.1142/S0217595921400170,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105916077&doi=10.1142%2fS0217595921400170&partnerID=40&md5=35f998267d876ebd2bf89c6f2669a4c9,"Department of Finance and Banking, Hajee Mohammad Danesh Science and Technology University, Dinajpur, Bangladesh; Department of Economics and Finance, University of New Orleans, New Orleans, 70148, LA, United States; Department of Computer Science and Engineering, Gono Bishwabidyalay, Bangladesh; Department of Administrative Sciences, Metropolitan College, Boston University, 1010 Commonwealth, Ave, Boston, 02215, MA, United States","Applications of machine learning (ML) and data science have extended significantly into contemporary accounting and finance. Yet, the prediction and analysis of taxpayers' status are relatively untapped to date. Moreover, this paper focuses on the combination of feature transformation as a novel domain of research for corporate firms' tax status prediction with the applicability of ML approaches. The paper also applies a tax payment dataset of Finish limited liability firms with failed and non-failed tax information. Seven different ML approaches train across four datasets, transformed to non-transformed, that effectively discriminate the non-default tax firms from their default counterparts. The findings advocate tax administration to choose the single best ML approach and feature transformation method for the execution purpose.  © 2022 World Scientific Publishing Co.",corporate tax; Data mining; default prediction; machine learning,Data mining; Forecasting; Machine learning; Metadata; Corporates; Default prediction; Feature transformations; Liability firms; Limited liability; Machine data; Machine learning approaches; Machine-learning; Novel domain; Prediction and analysis; Taxation,,World Scientific,2175959,,APJRE,English,Article,Final,,Scopus,2-s2.0-85105916077
Abkar Y.; Chaihab S.,"Abkar, Yousra (58946123400); Chaihab, Saida (58946620100)",58946123400; 58946620100,OPTIMIZATION OF SMART TAXATION USING ARTIFICIAL INTELLIGENCE: RISKS AND OPPORTUNITIES,2024,Journal of Theoretical and Applied Information Technology,102,5,,1870,1884,14,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188169464&partnerID=40&md5=09edc823e0eed8e94486178a4d8ade8b,"Abdelmalek Essaadi University, ERETOR, FSJEST, Tanger, Morocco; EFSI, Poitiers, France","The article explores the impact of artificial intelligence (AI) on effectiveness of management control, highlighting its transformative role in finance. The introduction highlights the growing importance of AI in finance, highlighting its benefits in data collection, AI model development, and performance evaluation. The article's development examines data collection in detail, highlighting the use of historical and real-time sources to power AI models. Model development methods are presented, highlighting approaches such as neural networks, SVMs, genetic algorithms, natural language processing, reinforcement learning models, decision tree ensembles, and semantic knowledge networks. AI in finance transcends the boundaries of technological innovation, optimizing decision-making, strengthening financial security, improving operational efficiency, and personalizing financial services for customers. Developmental paragraphs highlight the importance of AI in fraud detection and prevention, process automation, and personalization of financial services. A detailed section explores the different AI models applied to portfolio management, such as neural networks, SVMs, genetic algorithms, natural language processing-based models, reinforcement learning models, sets of decision trees, and semantic knowledge networks. Comparing the results obtained by AI models with traditional approaches highlights the transformation of the financial landscape towards more sophisticated and adaptive methods. We present the emerging context of smart taxation and highlight the importance of research as an essential driver of its development. By highlighting current gaps in traditional approaches to taxation, we introduce the need to explore new AI-based methods to improve the efficiency of the system. The article then analyzes the advantages and limitations of the proposed models, highlighting the ability of AI models to process massive volumes of data in real time and dynamically adapt to market changes. The conclusion summarizes the contributions of AI to portfolio management, highlighting its major role in optimizing financial strategies. © 2024 Little Lion Scientific. All rights reserved.",AI Model Performance; Artificial Intelligence; Finance; Financial AI Models; Portfolio Management; Strategic Optimization; SVM,,,Little Lion Scientific,19928645,,,English,Article,Final,,Scopus,2-s2.0-85188169464
Adamov A.Z.,"Adamov, Abzetdin Z. (35731037600)",35731037600,Machine Learning and Advanced Analytics in Tax Fraud Detection,2019,"13th IEEE International Conference on Application of Information and Communication Technologies, AICT 2019 - Proceedings",,,8981758,,,,6,10.1109/AICT47866.2019.8981758,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081111764&doi=10.1109%2fAICT47866.2019.8981758&partnerID=40&md5=2e08076bddd9f81f7842bdd5715730e6,"Center for Data Analytics Research (CeDAR), ADA University, Baku, Azerbaijan","We all are passing through Big Data Renaissance right now. Academic literature shows increasing interest to subject of application of Big Data technology to cross-sectoral business and relevant scientific research. But portion of research papers devoted to application of Big Data to Taxation is relatively small, despite of the fact that tax generates huge amounts of Data and has enormous potential to benefit from Big Data Analytics. This paper is a conceptual approach to build theoretical and methodological foundation for Data Analytics application in taxation. It is described how tax authorities can benefit from their operational data. Primary prerequisites for efficient application of Advanced Data Analytics are revealed. © 2019 IEEE.",Big Data; Data Analytics; Hadoop; Machine Learning; Taxation,Big data; Data Analytics; Learning systems; Machine learning; Taxation; Academic literature; Conceptual approaches; Data technologies; Fraud detection; Hadoop; Operational data; Research papers; Scientific researches; Advanced Analytics,,Institute of Electrical and Electronics Engineers Inc.,,978-172813900-5,,English,Conference paper,Final,,Scopus,2-s2.0-85081111764
Agbenyega D.A.; Andoh J.; Iddi S.; Asiedu L.,,57671339200; 57222465240; 55250605600; 57034093600,Modelling Customs Revenue in Ghana Using Novel Time Series Methods,2022,Applied Computational Intelligence and Soft Computing,2022,,2111587,,,,1,10.1155/2022/2111587,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129685583&doi=10.1155%2f2022%2f2111587&partnerID=40&md5=5705a698f682be28881debebd835726b,"Department Of Statistics And Actuarial Science, School Of Physical And Mathematical Sciences, University Of Ghana, Accra, Legon, Ghana","Governments across the world rely on their Customs Administration to provide functions that include border security, intellectual property rights protection, environmental protection, and revenue mobilisation amongst others. Analyzing the trends in revenue being collected from Customs is necessary to direct government policies and decisions. Models that can capture the trends being purported from the nominal (nonreal) tax values with respect to the trade volumes (value) over the period are indispensable. Predominant amongst the existing models are the econometric models (the GDP-based model, the monthly receipts model, and the microsimulation model), which are laborious and sometimes unreliable when studying trends in time series data. In this study, we modelled monthly revenue data obtained from the Ghana Revenue Authority-Customs Division (GRA-CD) for the period January 2010 to December 2019 using two traditional time series models, ARIMA model and ARIMA Error Regression Model (ARIMAX), and two machine learning time series models, Bayesian Structural Time Series (BSTS) model and a Neural Network Autoregression model. The Neural Network Autoregression model of the form NNAR (1, 3) provided the best forecasts with the least Mean Squared Error (MSE) of 53.87 and relatively lower Mean Absolute Percentage Error (MAPE) of 0.08. Generally, the machine learning models (NNAR (1, 3) and BSTS) outperformed the traditional time series models (ARIMA and ARIMAX models). The forecast values from the NNAR (1, 3) indicated a potential decline in revenue and this emphasizes the need for relevant authorities to institute measures to improve revenue generation in the immediate future.  © 2022 Diana Ayorkor Agbenyega et al.",,,,Hindawi Limited,16879724,,,English,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85129685583
Agustiani D.; Wardani S.; Riyadi A.,"Agustiani, D. (57222724365); Wardani, S. (57212248615); Riyadi, A. (57222726607)",57222724365; 57212248615; 57222726607,OpenCV and Machine Learning Implementation for the Vehicles Classification and Calculation in the Parking Tax Monitoring System at the Bantul Regency Regional Financial and Asset Agency (BKAD),2021,Journal of Physics: Conference Series,1823,1,12062,,,,4,10.1088/1742-6596/1823/1/012062,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103860633&doi=10.1088%2f1742-6596%2f1823%2f1%2f012062&partnerID=40&md5=6621b402e45f7a86e6bc539895e1f9f7,"Department of Informatics, Faculty of Science and Technology, Universitas PGRI Yogyakarta, Yogyakarta, Indonesia","After regional autonomy has been implemented in Indonesia, local governments must maximize its revenue through various sectors, including the Bantul Regency government. One source of regional income is a local tax, based on law no 28 of 2009, one type of tax-managed by local government is the parking tax. Either an off-street parking lots, those provided in connection with the business principal, those provided as a business, or motor vehicle daycare (Indonesian Law No.28 of 2009). The parking tax is a self-assessment tax. Taxpayers will calculate their amount of tax that must be paid to the government. Therefore, the local government should conduct oversight of the reports of taxpayers. One form of supervision carried out is to monitor the number of vehicles at the taxpayer's location. Officers then record the number of vehicles based on vehicle classification, whether they were two-wheeled or four-wheeled vehicles or other vehicle types. Currently, monitoring is done manually using a mechanical counter. This monitoring may have the risk of being miscalculated or wrongly recorded due to the monitoring officer's oversight. Computer vision (OpenCV library) and machine learning (Mask R-CNN), is expected to minimize these errors and optimize the officers' performance on duty. © Published under licence by IOP Publishing Ltd.",,Machine learning; Vehicles; Four-wheeled vehicles; Local government; Monitoring system; Motor vehicle; Number of vehicles; Self assessment; Vehicle classification; Vehicle types; Taxation,Sari M.W.,IOP Publishing Ltd,17426588,,,English,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85103860633
Akobundu C.I.; Julius M.S.; Nkanyi G.N.; Abanobi G.C.; Chieme G.C.,"Akobundu, C.I. (57219419047); Julius, M.S. (57310158100); Nkanyi, G.N. (57311240300); Abanobi, G.C. (57310693800); Chieme, G.C. (57310873900)",57219419047; 57310158100; 57311240300; 57310693800; 57310873900,Sleuthing of tax fraud in Small and Medium Enterprises (SMEs) in Nigerian using an intelligent system: Investigative study,2021,"12th International Conference on Advances in Computing, Control, and Telecommunication Technologies, ACT 2021",2021-August,,,740,745,5,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117785381&partnerID=40&md5=07a21a1b596c7209165407f0fbbd27ac,"Evangel University, Akaeze, Computer Science Department, Ebonyi State, Nigeria; Anambra State Polytechnic, Mgbakwu, Computer Science Technology Department, Anambra State, Nigeria","Tax fraud has eaten deep into Nigerian’s economy especially in Small and Medium Scale Enterprises (SMEs) been a subset of the industrial sector. The estimates regarding tax fraud at the international level reveals that Nigeria is one of the developing countries with a high level of tax fraud. The negative effect of this on the nation is quite evident as Nigeria as a nation had in the past depended majorly on oil giving less concern on tax as a source of revenue generation but lately, the oil sector is not booming as previous, which calls for urgent reinstatement of the tax sector which is one of her enormous sources of revenue generation. This research focuses on the detection of fraudulent activities in Small and Medium Enterprises (SMEs) in Nigeria using an intelligent data mining system. The intelligent system directly accesses the database of the SMEs tax payers and flows whistle whenever a fraudulent activity is suspected. This intelligent is built using Artificial Neural Network (ANN) for the reasoning and Supervised Learning Technique (SLT) for the learning. The investigative stage shows that it is highly exacerbating for those persons faithfully paying their taxes because it is deducted from source(like salary earners), enjoy same amenities provided by the government through the generated tax revenue and most projects are abandoned and borrowing becoming the order of the day in Nigerian government because of lack of fund which can also be alternatively generated when the tax sector is properly handled by implementing the proposed intelligent system. © Grenze Scientific Society, 2021.",Detection; Intelligent system; SMEs; Tax fraud,Crime; Data mining; Developing countries; Intelligent systems; Neural networks; Supervised learning; Wages; Detection; Industrial sector; Nigeria; Nigerians; Oil sectors; Research focus; Revenue generation; Small and medium scale enterprise; Small-and-medium enterprise; Tax fraud; Taxation,,Grenze Scientific Society,,,,English,Conference paper,Final,,Scopus,2-s2.0-85117785381
Alaimo Di Loro P.; Scacciatelli D.; Tagliaferri G.,"Alaimo Di Loro, Pierfrancesco (57216727684); Scacciatelli, Daria (24437486400); Tagliaferri, Giovanna (57219590919)",57216727684; 24437486400; 57219590919,2-step Gradient Boosting approach to selectivity bias correction in tax audit: an application to the VAT gap in Italy,2023,Statistical Methods and Applications,32,1,,237,270,33,0,10.1007/s10260-022-00643-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131439116&doi=10.1007%2fs10260-022-00643-4&partnerID=40&md5=6f4114c201c433a9ffa67d0bae27c72f,"Department of Statistics, La Sapienza, Piazzale Aldo Moro, 5, Rome, 00185, Italy; Department of Law, Economics, Politics and Modern Languages (GEPLI), LUMSA, Borgo S. Angelo, 13, Rome, 00193, Italy; Forecasting models and statistical analysis, SOGEI, Via M. Carucci, 99, Rome, 00143, Italy; Business Intelligence and Data Warehouse, SOGEI, Via M. Carucci, 99, Rome, 00193, Italy","The revenue loss from tax avoidance can undermine the effectiveness and equity of the government policies. A standard measure of its magnitude is known as the tax gap, that is defined as the difference between the total taxes theoretically collectable and the total taxes actually collected in a given period. Estimation from a micro perspective is usually tackled in the context of bottom-up approaches, where data regularly collected through fiscal audits are analyzed in order to provide inference on the general population. However, the sampling scheme of fiscal audits performed by revenue agencies is not random but characterized by a selection bias toward risky taxpayers. The current standard adopted by the Italian Revenue Agency (IRA) for overcoming this issue in the Tax audit context is the Heckman model, based on linear models for modeling both the selection and the outcome mechanisms. Here we propose the adoption of the CART-based Gradient Boosting in place of standard linear models to account for the complex patterns often arising in the relationships between covariates and outcome. Selection bias is corrected by considering a re-weighting scheme based on propensity scores, attained through the sequential application of a classifier and a regressor. In short we refer to the method as 2-step Gradient Boosting. We argue how this scheme fits the sampling mechanism of the IRA fiscal audits, and it is applied to a sample of VAT declarations from Italian individual firms in the fiscal year 2011. Results show a marked dominance of the proposed method over the currently adopted Heckman model in terms of predictive performances. © 2022, Springer-Verlag GmbH Germany, part of Springer Nature.",Gradient Boosting; Machine learning; Selection bias; Tax gap,,,Institute for Ionics,16182510,,,English,Article,Final,,Scopus,2-s2.0-85131439116
Alqatan A.; Hussainey K.; Hamed M.; Benameur K.,"Alqatan, Ahmad (57215506149); Hussainey, Khaled (16444230900); Hamed, Mounira (57218589436); Benameur, Kameleddine (57211542148)",57215506149; 16444230900; 57218589436; 57211542148,"Impact of digitalization on reporting, tax avoidance, accounting, and green finance",2024,"Impact of Digitalization on Reporting, Tax Avoidance, Accounting, and Green Finance",,,,1,358,357,0,10.4018/9798369316788,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191788170&doi=10.4018%2f9798369316788&partnerID=40&md5=c8b5262b5c95f2db2342d6461fc470c8,"Arab Open University, Kuwait; University of Portsmouth, United Kingdom; University of Tunis El Manar, Tunisia; American University of Kuwait, Kuwait","Digital era reporting undergoes a seismic shift as automation takes center stage. The transition from manual reporting to real-time automated systems enhances precision and efficiency and reduces errors, empowering decision-makers. However, this era of digital reporting brings forth a new set of challenges, from data security and privacy concerns to the imperative need for robust cybersecurity measures. Impact of Digitalization on Reporting, Tax Avoidance, Accounting, and Green Finance delves into this transformative wave, comprehensively exploring its consequences on these critical domains. The book meticulously dissects both the positive and negative repercussions, encapsulating the challenges and opportunities that arise in this era of digital metamorphosis. Navigating tax avoidance in a digitalized world unveils a complex dynamic. Digitalization, on the one hand, empowers tax authorities to access and analyze vast datasets, making it challenging for businesses to engage in tax evasion. On the other hand, sophisticated digital tools provide fertile ground for corporations to devise intricate tax avoidance schemes. Striking a balance becomes paramount, necessitating regulatory measures and international cooperation while addressing ethical dimensions in leveraging technology for tax strategies. Transforming accounting through digital integration heralds a new era. Cloud-based accounting software, automated bookkeeping, and artificial intelligence-powered tools streamline processes, ensuring increased accuracy and transparency in financial reporting. However, this digital transition requires a recalibration of the workforce, addressing job displacement concerns and upskilling in the face of automation. Green finance in the digital age witnesses a symbiotic relationship. Technology plays a vital role in green finance and sustainable investment growth. The book underscores the significance of regulatory frameworks that guide sustainable finance in the digital era. The book also explores ethical dilemmas, navigates the digital divide, and envisions strategies for ensuring equity and inclusivity in the digital finance. The future trends and outlook section anticipates the trajectory of digitalization. Advancements in artificial intelligence, machine learning, and big data analytics are on the horizon. Regulatory developments are crucial to staying ahead of digital challenges, and collaborative efforts between businesses, governments, and stakeholders are imperative. The book presents potential scenarios for a sustainable and digitally integrated financial future. The book offers a nuanced understanding of the intricate relationship between digitalization and these critical domains, from business professionals and financial analysts to regulatory bodies and sustainability advocates. © 2024 by IGI Global. All rights reserved.",,,,IGI Global,,979-836931679-5; 979-836931678-8,,English,Book,Final,,Scopus,2-s2.0-85191788170
Alsadhan N.,"Alsadhan, N. (57189029597)",57189029597,A Multi-Module Machine Learning Approach to Detect Tax Fraud,2023,Computer Systems Science and Engineering,46,1,,241,253,12,7,10.32604/csse.2023.033375,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147416975&doi=10.32604%2fcsse.2023.033375&partnerID=40&md5=cc88a4f0dd402129099cd19ed7c4a315,"King Saud University, Riyadh, 11451, Saudi Arabia","Tax fraud is one of the substantial issues affecting governments around the world. It is defined as the intentional alteration of information provided on a tax return to reduce someone's tax liability. This is done by either reducing sales or increasing purchases. According to recent studies, governments lose over $500 billion annually due to tax fraud. A loss of this magnitude motivates tax authorities worldwide to implement efficient fraud detection strategies. Most of the work done in tax fraud using machine learning is centered on supervised models. A significant drawback of this approach is that it requires tax returns that have been previously audited, which constitutes a small percentage of the data. Other strategies focus on using unsupervised models that utilize the whole data when they search for patterns, though ignore whether the tax returns are fraudulent or not. Therefore, unsupervised models are limited in their usefulness if they are used independently to detect tax fraud. The work done in this paper focuses on addressing such limitations by proposing a fraud detection framework that utilizes supervised and unsupervised models to exploit the entire set of tax returns. The framework consists of four modules: A supervised module, which utilizes a tree-based model to extract knowledge from the data; an unsupervised module, which calculates anomaly scores; a behavioral module, which assigns a compliance score for each taxpayer; and a prediction module, which utilizes the output of the previous modules to output a probability of fraud for each tax return. We demonstrate the effectiveness of our framework by testing it on existent tax returns provided by the Saudi tax authority. © 2023 Authors. All rights reserved.",applied machine learning; feature engineering; Tax fraud,Crime; Machine learning; Trees (mathematics); Applied machine learning; Feature engineerings; Fraud detection; Machine learning approaches; Machine-learning; Multimodule; Tax authorities; Tax fraud; Tax liability; Tax returns; Taxation,,Tech Science Press,2676192,,CSSEE,English,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85147416975
